by,descendants,id,kids,score,text,time,title,type,url
mihirpandya,12,30164420,"[30168402, 30193189, 30175804]",65,"Atlas is an open-source deployment pipeline platform built for cloud-native applications.<p>Atlas allows users to:
- Create continuous pipelines across all their environments and clusters
- Add custom tasks&#x2F;tests plugins (Python scripts, K8S manifests, Argo Workflows, environment setup, etc.)
- Automatically rollback applications in case of failure or degradation (Atlas watches the application past the scope of a pipeline run to ensure and enforce stability)
- Use all existing Argo features<p>Would love to hear all of your feedback and thoughts on this!",1643731759,Show HN: Atlas – A deployment pipeline platform built on Argo CD,story,https://greenops.io/atlas/
fernandops,1,30203174,[30203182],2,None,1643951866,Show HN: I created a tool to generate socket.io project structures quickly,story,https://www.socketiobuilder.xyz/
amadeuspagel,121,30179355,"[30183707, 30185344, 30182106, 30188874, 30187046, 30180899, 30181891, 30185621, 30181799, 30180901, 30200734, 30190013, 30182013, 30187592, 30181926, 30189506, 30187952, 30185967, 30185324, 30184687, 30184348, 30183557, 30189670, 30181853, 30181837, 30188215, 30185504, 30182744, 30190631, 30181506, 30192929, 30181516, 30188444, 30182908, 30180429, 30186283, 30180529, 30180940, 30181642, 30189419, 30182941, 30189544, 30180360, 30186632, 30184397, 30182701, 30180902, 30180531, 30181770, 30181402, 30179925]",201,None,1643817644,"Show HN: Coffeehouse, one-on-one voicechat with random HN users",story,https://coffeehouse.chat/hn
codemonky,4,30198351,"[30203783, 30199545]",7,I built this ReactJS&#x2F;Ruby on Rails single page web app out of personal need. My son wanted a book like “Curious George” but I didn’t have a good way to find one. The tool allows you to flip through pages of books for online previews.,1643920181,Show HN: I developed a website to find books similar to my kid's favorite,story,https://www.feedingreader.com
nefitty,0,30202815,None,2,None,1643948324,Show HN: Printable Chess Set,story,https://observablehq.com/@iz/printable-chess-set
noahlbartley,0,30202283,None,2,None,1643943726,Show HN: Bring back the show desktop hover / aero peek feature on Windows 11,story,https://github.com/noahlbartley/AeroPeek11
danieltait,78,30175956,"[30182263, 30176892, 30176919, 30179467, 30182503, 30177171, 30182428, 30176933, 30182214, 30190141, 30176866, 30182569, 30176905, 30176935, 30182737, 30177132, 30177214, 30187955, 30176114, 30177343, 30187492, 30176562, 30177003, 30179178, 30177168, 30178934, 30176074, 30185179, 30176744, 30177001, 30182287, 30177743, 30176720, 30176621, 30179859, 30176886, 30177358, 30182535, 30183347, 30177374, 30177154, 30177201, 30180817]",107,None,1643798773,Show HN: A daily math puzzle inspired by Wordle,story,https://www.mathler.com/
stanislavb,55,30185599,"[30188852, 30187511, 30191285, 30188945, 30186839, 30186262, 30189125, 30187395, 30190565, 30191105, 30189815, 30187677, 30190395, 30189384, 30188233, 30187800, 30187135, 30190422, 30185831, 30189797, 30186742, 30188769, 30188568, 30189625]",118,"Several months ago, I built a &quot;stealth&quot; feature that I could use. It hasn&#x27;t been advertised, and I&#x27;ve been the only user. As I find it useful for myself, I believe others (software developers) may like it too. So, this is the first public post about it, and if it gets any positive feedback, I may put some time into promoting it more.<p>In essence, given that you&#x27;ve opened a GitHub repo (there are ~225k of the more popular ones indexed as of now), you can replace &quot;github&quot; with &quot;libhunt&quot; within the URL, and you will find the top alternatives and related projects.<p>For example, here are three popular repos:<p>- <a href=""https:&#x2F;&#x2F;github.com&#x2F;rails&#x2F;rails"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;rails&#x2F;rails</a><p>- <a href=""https:&#x2F;&#x2F;github.com&#x2F;vercel&#x2F;next.js"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;vercel&#x2F;next.js</a><p>- <a href=""https:&#x2F;&#x2F;github.com&#x2F;kovidgoyal&#x2F;calibre"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;kovidgoyal&#x2F;calibre</a><p>To test it out, open any of the examples above and replace &quot;github&quot; with &quot;libhunt&quot; within the browser URL. You can also try with any other repository as long as it&#x27;s a bit popular.<p>I&#x27;d be more than happy to answer any questions and receive some feedback. Thanks!",1643843750,Show HN: Find alternatives to almost any popular GitHub repo,story,None
polyterative,14,30184452,"[30189315, 30186154, 30185648, 30187919, 30185510, 30184460]",50,"Hello HN,
not many will know what this tool is about, but it&#x27;s launch day and I always dreamed of posting on HN. Let&#x27;s start!<p>This is a tool for people using eurorack gear. For synth people. What is cool about my tool is that I show the signal flow with a graph. Here&#x27;s the official press text:<p>After a decade of stagnation in this space we are excited to present patcher.xyz: the modern way to manage everything modular.<p>It’s a tool for professionals, enthusiasts, and casual wigglers.<p>Novadays artists must develop their own means of taking notes, often on paper, since there is no common format for sharing ideas. Although there is nothing wrong with that, we believe we have found a better way.<p>We wanted our patch ideas to be searchable, editable and easily-shareable. We needed an easier way to plan our racks, without creating a mess. We needed to be able to find awesome modules fitting our style and feel, without being lost in the ocean of different options.
We made it a reality.<p>patcher.xyz was built to provide a fast and enjoyable experience while bypassing the limitations of current offerings. Our vision is to build a platform to assist you in any part of your wiggling experience: from research, to planning, to buying or trading gear, to sharing your new ideas and music.",1643838090,Show HN: I've built a tool for musicians using modular gear,story,https://patcher.xyz/
jstrafy,139,30175863,"[30178998, 30176965, 30176467, 30176346, 30178180, 30176299, 30176756, 30176330, 30180973, 30176784, 30176205, 30181095, 30176252, 30179989, 30178470, 30198624, 30176437, 30176757, 30179470, 30180859, 30176722, 30179216, 30181575, 30180588, 30176340, 30176402, 30176137, 30179747, 30178311, 30176224, 30176634, 30180207, 30189299, 30176341, 30176360, 30176788, 30176620, 30180309, 30179090, 30183197, 30179895, 30177452, 30176530, 30176476, 30183061]",74,"Hey there,<p>First time posting on Hacker News in about 2 years! The reason I’m posting is that I thought I’d write about the product I’ve been building, in hopes it resonates with people.<p>Why build yet another social app? Because I deleted almost all social media around 3&#x2F;4 years ago as it was just net negative on my life. There was very little that was truly interesting, I didn’t care about looking good to other people and because of the ‘media’ and ads, the apps were all designed to make me spend too much time for what I was getting. I hated it and what it meant for people’s behaviour, including mine and my friends.<p>I also noticed that the vast majority of my friends were pretty much passive on the services, even if they had an account. Turns out that most people felt uncomfortable sharing to people they didn’t know too well, which inevitably happens as you meet new people, add them, and often don’t develop the relationship much further. I had a sense that there could be a better way.<p>In that, I remembered the days of Path and Google+ which had the model of focusing on particular people in your network, both through the feed and in how you shared. Path in particular was a ‘real life’ social network, something that despite being brought to market in 2010 or whatever, seemed to be more relevant today.<p>So problem found, problem solved. I took the journey of learning how to code when COVID hit (I was working in Architecture and Design and was about to start my masters degree at Harvard GSD in Boston), then one thing led to another, my prototype garnered some investment interest, and Circles was born.<p>The idea is very much like the name suggests, it’s about adding your contacts (synced through your phonebook) into Circles that define what the relationship is. This means that you only see things from people you have tagged (rather than everyone) and when you share, you choose exactly who it goes to (rather than all your friends or followers).<p>It also takes cues from other privacy focused social products. Posts are encrypted, reactions and comments are only shown to people who are contacts with eachother, and user profiles only show that which has been explicitly shared to the user viewing the profile.<p>As they were mentioned briefly before, it’s essentially a crossover between Path and Google+ with a wrap around layer of privacy, so the potential revenue has to eventually come through paid features rather than ads.<p>We’re in the app store and google play store (yay, cross-platform JS frameworks), the invite code is ‘FULLCIRCLE’ and download links are below:<p>Landing: <a href=""https:&#x2F;&#x2F;oncircles.com"" rel=""nofollow"">https:&#x2F;&#x2F;oncircles.com</a><p>iOS: <a href=""https:&#x2F;&#x2F;apps.apple.com&#x2F;gb&#x2F;app&#x2F;circles-share-more-with-less&#x2F;id1532621483"" rel=""nofollow"">https:&#x2F;&#x2F;apps.apple.com&#x2F;gb&#x2F;app&#x2F;circles-share-more-with-less&#x2F;i...</a><p>Android: <a href=""https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.oncircles"" rel=""nofollow"">https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.oncircles</a><p>I would love to hear your feedback and suggestions on the idea. Hit or miss?<p>PS: If you want to chat about the idea or are interested in working together I’d love to chat. Always interesting to meet people on HN and we have the funds, ideas and drive to continue making cool things that can solve big problems. Send me an email at james@oncircles.com<p>Thanks!",1643797955,Show HN: What do you think of my new social app?,story,https://oncircles.com
chikeichan,17,30180399,"[30181430, 30183403, 30181981, 30182771, 30183688, 30183582, 30184662, 30183770, 30182922]",80,"Bob Extension just added ability to resolve Handshake domain with webtorrent.<p>Any Handshake TLDs can update its TXT record with a magnet link pointing to a folder that contains a index.html page - Bob Extension will download and show the content using webtorrent when users go to the TLDs (e.g. federalistpapers&#x2F;)<p><a href=""https:&#x2F;&#x2F;github.com&#x2F;kyokan&#x2F;bob-extension&#x2F;pull&#x2F;18"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;kyokan&#x2F;bob-extension&#x2F;pull&#x2F;18</a>",1643821686,Show HN: Federalist and Bob – uncensorable website with webtorrent and Handshake,story,None
craftedpixels,6,30169750,"[30175781, 30177512, 30171478, 30200017, 30170684, 30170896]",55,None,1643751501,"Show HN: Free 3D icons, fully customizable online",story,https://vertex.im/
fallat,0,30198514,None,2,None,1643920921,"Show HN: Measure code by Kolmogrov complexity, not lines",story,https://github.com/lf94/kolmogorov.sh
pbarondadditude,136,30178571,"[30179646, 30179669, 30180246, 30180053, 30179598, 30181903, 30181198, 30179745, 30194389, 30181455, 30181140, 30180536, 30180149, 30185787, 30185200, 30182279, 30180580, 30185356, 30179522, 30180366, 30180218, 30185077, 30179606, 30180385, 30180909, 30179480, 30179912, 30180165, 30179686, 30179814, 30178698, 30179705, 30179665, 30180050, 30179898]",110,"Hey there,<p>First time posting on HN. We&#x27;re looking for feedback from parents.<p>We&#x27;re 2 dads who started working on Dadditude in the midst of covid lockdowns last year.<p>Being a dad can be a long, emotional, draining, and lonely journey. Through our research we learned that dads want to improve their parenting but are too shy to ask for help, and are tired of reading content online written for mums. We set out to fix that and create a platform that would help dads feel seen, validated, and supported.
By helping dads, we hope to support moms and partners too, because all parents deserve more support.<p>Quick timeline so far:
We started a community of dads on Instagram last Feb to test hypothesis and learn about their needs. We then launched an MVP in April, a super simple app serving weekly coaching guides created with a parenting professional partner.
We made several updates in summer and fall, working like crazy in the background to convince parenting professionals to write coaching guides for us. Especially hard when you&#x27;re a nobody. But people are kind and we found all the support we needed.
We launched a v1 app mid-December with 50 coaching guides and a more full fledge community board (and a paid membership tier).
We&#x27;ve just added on-demand parenting professional support in Jan.
And last week added a picture board for dads to upload pics of their families, and that&#x27;s become more popular than the forums!! ← I knew dads wanted to feel more visible but  I love these discoveries!<p>Super proud of the work done so far, but still so much to do to smooth out the product experience, and get closer to PFM. So much learning.<p>web: <a href=""http:&#x2F;&#x2F;www.dadditude.app"" rel=""nofollow"">http:&#x2F;&#x2F;www.dadditude.app</a>
ios: <a href=""https:&#x2F;&#x2F;apps.apple.com&#x2F;app&#x2F;id1558653576"" rel=""nofollow"">https:&#x2F;&#x2F;apps.apple.com&#x2F;app&#x2F;id1558653576</a>
android: <a href=""https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.dadditude.app"" rel=""nofollow"">https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.dadditude....</a><p>(part of the experience is behind a paywall, but you can test nearly all paid features once for free - so long as you register through Apple or Google)<p>All thoughts and feedback welcome in the comments below, especially if you&#x27;re a parent entrepreneur. TYIA<p>[edited top statement to &quot;<i>can be</i> long...&quot; for the dads here who felt it was too gloomy - it was]",1643814567,Show HN: Just Launched an App for Dads,story,None
chaibiker,3,30197791,[30197798],3,None,1643917772,Show HN: The first smart interactive chair for standing desks,story,https://www.movably.com/earlybird
michaelghayes,1,30190726,[30190789],4,None,1643883317,Show HN: Pothos – a plugin based GraphQL schema builder for TypeScript,story,https://pothos-graphql.dev/
antonok,0,30195587,None,3,"I was frustrated with the state of tooling for working with icons on the web. You&#x27;re either forced to serve gigantic font files with more icons than you could possibly need, or you have to customize your fonts in a browser-based tool.<p>I wanted a CLI program with a simple configuration format, so that I could integrate it with my static site generator build process and version control.<p>I built fontite to fulfill that need. The linked page demonstrates how you might use it to combine icons from 7 different WOFF2 and SVG sources, and only require about 4kB to serve all of them, with no JS required!<p>I now use this on my personal website [1] and I&#x27;m very happy with it. If you&#x27;re curious, there&#x27;s more information on the GitLab repo [2] and I wrote up a summary of the making process [3] as well.<p>I&#x27;d love to see some smaller, faster websites using this tool!<p>[1] <a href=""https:&#x2F;&#x2F;antonok.com"" rel=""nofollow"">https:&#x2F;&#x2F;antonok.com</a>
[2] <a href=""https:&#x2F;&#x2F;gitlab.com&#x2F;antonok&#x2F;fontite"" rel=""nofollow"">https:&#x2F;&#x2F;gitlab.com&#x2F;antonok&#x2F;fontite</a>
[3] <a href=""https:&#x2F;&#x2F;antonok.com&#x2F;projects&#x2F;fontite"" rel=""nofollow"">https:&#x2F;&#x2F;antonok.com&#x2F;projects&#x2F;fontite</a>",1643909640,"Show HN: Fontite, an icon font optimization tool for smaller and faster websites",story,https://fontite.antonok.com
koahmad,31,30165706,"[30165725, 30167362, 30168740, 30168601, 30175346, 30167871, 30169324, 30170092, 30170666, 30168587, 30167357, 30168310, 30174543, 30168895, 30166869, 30168392, 30182791, 30170254, 30178812]",95,None,1643735534,Show HN: OneModel – Diagramming tailor-made for Software Engineers,story,https://www.onemodel.app
unobatbayar,0,30202880,None,2,None,1643948967,Show HN: I made a programming music playlist,story,https://soundcloud.com/unobatbayar/sets/programming-music
adamcao,1,30202371,[30203253],4,"I thought it would be cool if you could see and edit your Trello board in a spreadsheet or Airtable-like view - so I coded up a Power-Up that lets you do just that in the last two weeks. It just got released today!<p>I started building Trello Power-Ups about six months ago and I charge just $1 per user per month for access to all of my Power-Up. Check out my other ones here: <a href=""https:&#x2F;&#x2F;tinypowerups.com"" rel=""nofollow"">https:&#x2F;&#x2F;tinypowerups.com</a>",1643944326,Show HN: Table View for Trello,story,https://trello.com/power-ups/61f4c0464f8522341a806b89/table-view-spreadsheet-multi-select-bulk-edits
dsaffy,76,30165186,"[30170398, 30168911, 30168658, 30165972, 30170768, 30165385, 30166686, 30170334, 30175451, 30168642, 30165825, 30166830, 30166132, 30165514, 30169485, 30176677, 30167649, 30168763, 30167016, 30166017, 30168841, 30171906, 30167628, 30169511, 30166391, 30167984]",85,None,1643733856,"Show HN: Pesto, a Digital Workplace",story,https://pesto.app/
rcarmo,0,30191372,None,3,"This has kind of a weird backstory, but in short, I am doing later and later video calls and needed a way to offset the blue tint of my laptop camera, so I hacked a quick web page to use my monitor as a softlight.<p>Might not be suitable for all skin tones, and is a 30s hack that turned into a 15m one, so YMMV.",1643889656,Show HN: Emergency softlight for late night video calls,story,https://carmo.io/softlight/
sabigara,2,30189228,[30202998],2,None,1643868305,Show HN: Create audio-reactive video for your music on browser,story,https://reaktr.vercel.app
randomcatuser,3,30195783,[30198047],3,"Hi HN! I&#x27;m working on building a new political party (http:&#x2F;&#x2F;allogov.us&#x2F;), and would appreciate some feedback on this!<p>If the website isn’t clear, the idea is to get voters to sync on who to vote on. If the party wins, voters will get direct access to individual policy items, instead of a bundle of policies (the representative will vote in line with the app.)<p>What&#x27;re you looking for in a new political party?<p>I&#x27;m not sure how to go about finding the first users: Anyone know anyone who has advice on this?<p>Thanks!",1643910304,Show HN: I'm building a new political party (feedback welcome!),story,None
adrien2p,0,30175953,None,4,Get some cool features with your medusa headless e-commerce,1643798748,Show HN: Medusa-Extender,story,https://github.com/adrien2p/medusa-extender
toni88x,0,30184472,None,2,"I built this GitHub Repo Tracker with Nuxt 3 to track when Nuxt 3 and its modules are ready for production.<p>You can track multiple repositories on a single page and see how many commits, issues and PRs each of them had today, in the last 7 days and in the last 30 days.<p>More stats and slick charts coming soon, plus integration of GitLab and BitBucket.<p>Give it a spin:
<a href=""https:&#x2F;&#x2F;repo-tracker.com"" rel=""nofollow"">https:&#x2F;&#x2F;repo-tracker.com</a>",1643838226,Show HN: Repo Tracker to follow updates in multiple GitHub repositories,story,https://repo-tracker.com
dondraper36,1,30184091,[30184092],2,None,1643836106,Show HN: Bulls and Cows: if Wordle was ugly and numeric,story,https://github.com/wilfreddesert/bulls_and_cows
vnglst,0,30164938,None,5,None,1643733151,Show HN: Phoenix tutorial for creating live cursors (as seen in Figma),story,https://koenvangilst.nl/blog/phoenix-live-cursors
colinchartier,1,30180372,[30180461],7,None,1643821593,"Show HN: GreenJS, add performant React pages to an existing site",story,https://greenjs.io/
rrmm,0,30171586,None,3,None,1643759946,Show HN: MastermindWord – Wordle more than once a day,story,https://rrmm.github.io/mastermind-word/
Inufu,1,30179326,[30179430],2,None,1643817564,Show HN: AlphaCode Attention Visualization,story,"https://alphacode.deepmind.com/#layer=18,problem=34,heads=11111111111"
Olumoye2001,1,30176879,[30190376],2,None,1643806775,Show HN: Rate and Review Contents,story,https://trycriew.web.app
Geeta2101,0,30176388,None,3,"Hi,<p>In the past few years, I have discovered and tested the benefits of goal settings and visualization. I have formed this habit of writing my goals as affirmations in a pocket diary and reading it every morning. However, there are days when I forget to do it and then lose momentum.<p>So, I thought of a chrome extension with a minimal interface where I can add all my affirmations, and then it displays them on a new tab throughout the day, one affirmation at a time.<p>With the help of my teammate, I have created exactly this. It&#x27;s called &#x27;Affirmations Flow.&#x27;<p>This is how it works:<p>- When you add it to the chrome, it comes with a few sample affirmations preloaded
- You can edit and replace them with your affirmations.
- Click save, and you are set.
- When you open a new tab next time, it will shuffle play those affirmations displaying each affirmation for thirty minutes so that you can focus on it.
- If you are in public place and do not want others to see your affirmations, there is an option to hide the shuffle and the extension gives you a blank screen new tab with beautiful floating bubbles.<p>It&#x27;s totally free.<p>Here is the link if you want try it out:
https:&#x2F;&#x2F;chrome.google.com&#x2F;webstore&#x2F;detail&#x2F;affirmations-flow&#x2F;koaaphllbjjlfgfmjohmlnncpeepdogg?hl=en<p>Thanks!",1643803003,Show HN: I have made a Chrome extension to focus on my goals,story,None
James-Livesey,0,30176353,None,4,None,1643802703,Show HN: Hexle ­- A Wordle-like game where you guess a 16-bit hex int,story,https://jamesl.me/hexle/
advskdr,0,30175445,None,3,None,1643793952,Show HN: One-Off Dyno Metrics Heroku Add-On,story,https://elements.heroku.com/addons/one-off-metrics
wilbertliu,0,30175242,None,6,None,1643791573,Show HN: I made a faster way to pick 30k+ Unicodes,story,https://getmumu.com/
ideopunk,2,30171198,"[30171210, 30171456]",2,None,1643757997,Show HN: Pixel Sorter,story,https://pixel-sorter.com
aaronsdevera,0,30168577,None,2,None,1643746574,Show HN: Personal News Feed,story,https://newsfeed.aaronsdevera.com/
abemassry,0,30164179,None,7,None,1643730977,Show HN: Peel – Distributed Serverless Social Network in the Browser,story,https://github.com/abemassry/peel
jermaustin1,0,30163940,None,2,None,1643729914,Show HN: WordleCLI,story,https://github.com/jeremyaboyd/WordleCLI
